# time	Xh_Frames	P100_Output	Drive_Eh1	Laser_probe	
3.875000000007280025e-11	-3.624999999999989342e-02	-9.249999999999980460e-03	-3.250000000000030642e-03	-2.625000000000016209e-03
7.875000000007280429e-11	-4.140624999999786837e-03	-2.328125000000014211e-03	-2.828125000000014655e-03	-1.953125000000000000e-03
1.187500000000727954e-10	1.335937500000028422e-02	9.375000000000355271e-05	3.515624999999966693e-03	-1.742187500000019762e-03
1.587500000000727865e-10	-1.664062499999996447e-02	-7.499999999999729106e-04	2.562499999999967581e-03	8.359374999999946709e-04
1.987500000000728035e-10	-2.234374999999966249e-02	-5.000000000000004441e-03	-1.765625000000048406e-03	2.593750000000005773e-03
2.387500000000727688e-10	-2.335937499999962697e-02	-8.421874999999967581e-03	-1.406250000000053291e-04	2.484374999999983125e-03
2.787500000000727857e-10	-3.687499999999976907e-02	-2.765624999999993783e-03	-1.140625000000006217e-03	-2.140625000000007105e-03
3.187500000000727510e-10	1.914062500000035527e-02	-1.390624999999978684e-03	3.687499999999954703e-03	-3.171875000000018430e-03
3.587500000000727680e-10	7.890625000000373035e-03	-1.749999999999973799e-03	6.249999999999866773e-04	-1.125000000000014877e-03
3.987500000000727849e-10	-9.687499999999626965e-03	1.203125000000027089e-03	-3.484375000000039524e-03	-2.265624999999993339e-03
4.387500000000727502e-10	-5.859375000000000000e-02	1.875000000000015543e-03	-5.312500000000386358e-04	-1.070312500000003553e-03
4.787500000000728189e-10	-2.257812499999989342e-02	5.000000000000004441e-04	3.000000000000002665e-03	-3.843750000000006883e-03
5.187500000000727841e-10	-3.882812499999976907e-02	-5.468749999999966693e-03	5.031249999999987121e-03	-1.101562500000013989e-03
5.587500000000727494e-10	-2.687499999999998224e-02	-2.703124999999972911e-03	4.531249999999986677e-03	-2.609374999999997113e-03
5.987500000000727147e-10	-5.062499999999969802e-02	-3.546875000000004885e-03	-3.390625000000035971e-03	9.375000000000077716e-04
6.387500000000727833e-10	-2.140624999999962697e-02	-9.359375000000003109e-03	-4.812499999999997335e-03	-4.687500000000177636e-04
6.787500000000727486e-10	-3.812499999999996447e-02	-3.218749999999992450e-03	-1.687500000000008438e-03	-2.976562500000001776e-03
7.187500000000727139e-10	-1.796874999999698019e-03	-1.921874999999961808e-03	5.015624999999968026e-03	-1.515624999999992673e-03
7.587500000000727825e-10	-8.281250000000017764e-03	-1.203124999999971578e-03	4.140624999999953371e-03	-1.843750000000005107e-03
7.987500000000727478e-10	-2.343749999999644729e-03	1.921875000000017319e-03	-2.468750000000019540e-03	-2.054687500000013101e-03
8.387500000000727131e-10	-1.562499999998578915e-04	-4.453125000000002220e-03	-5.000000000000004441e-03	4.296874999999977796e-04
8.787500000000727817e-10	-5.624999999999769074e-03	-4.890624999999981792e-03	-2.000000000000001776e-03	-2.968750000000019984e-04
9.187500000000727470e-10	-3.968749999999987566e-02	-5.687500000000011990e-03	1.484374999999982236e-03	3.515624999999855671e-04
9.587500000000728157e-10	-6.718749999999662492e-03	-3.812499999999996447e-03	7.937499999999986233e-03	-2.562499999999995337e-03
9.987500000000728843e-10	-1.593749999999971578e-02	-8.390624999999984901e-03	-3.500000000000003109e-03	-1.835937499999995559e-03
1.038750000000072746e-09	-5.312500000000053291e-03	-2.749999999999974687e-03	-3.437500000000315303e-04	-1.976562500000000888e-03
1.078750000000072815e-09	-5.882812499999978684e-02	-1.031249999999983569e-03	-3.406249999999999556e-03	6.796874999999980016e-04
1.118750000000072884e-09	-4.593749999999996447e-02	4.796875000000033751e-03	2.000000000000001776e-03	-9.687500000000182077e-04
1.158750000000072745e-09	-3.265625000000005329e-02	-8.750000000000146549e-04	4.843749999999813483e-04	-8.750000000000146549e-04
1.198750000000072814e-09	-1.031249999999994671e-02	-9.390624999999985789e-03	1.765624999999992895e-03	-7.343750000000093259e-04
1.238750000000072883e-09	-7.734374999999626965e-03	-2.296874999999976019e-03	7.078124999999990674e-03	-3.000000000000002665e-03
1.278750000000072745e-09	-8.124999999999715783e-03	-5.468749999999966693e-03	4.593749999999952038e-03	-1.554687500000012657e-03
1.318750000000072813e-09	-1.898437500000005329e-02	1.984375000000038192e-03	1.562499999996358468e-05	9.765625000000000000e-04
1.358750000000072882e-09	-1.609375000000001776e-02	-5.984374999999986233e-03	-3.062500000000023537e-03	2.671874999999990230e-03
1.398750000000072744e-09	1.929687500000021316e-02	-4.749999999999976463e-03	-1.406249999999997780e-03	-7.578125000000102141e-04
1.438750000000072812e-09	-1.718749999999991118e-02	-5.500000000000004885e-03	3.359374999999997780e-03	-2.476562500000001332e-03
1.478750000000072881e-09	-5.937499999999973355e-02	5.156250000000195399e-04	1.156249999999969802e-03	-2.203125000000000222e-03
1.518750000000072743e-09	-4.953124999999980460e-02	-1.859374999999996447e-03	-3.296875000000032419e-03	1.718749999999880096e-04
1.558750000000072812e-09	-3.585937499999980460e-02	-5.906250000000001776e-03	-1.296875000000030642e-03	-2.835937499999996447e-03
1.598750000000072880e-09	1.117187500000005329e-02	1.890625000000034639e-03	2.937499999999981792e-03	-1.218750000000018430e-03
1.638750000000072742e-09	4.296875000000088818e-03	-5.937499999999984457e-03	2.000000000000001776e-03	5.156249999999917843e-04
1.678750000000072811e-09	-9.921874999999857891e-03	1.921875000000017319e-03	3.437499999999982236e-03	2.492187499999992673e-03
