# time (ps)	level	
1.250000000000000000e+02	1.845000000000000000e+03
2.500000000000000000e+02	1.797000000000000000e+03
3.750000000000000000e+02	1.740000000000000000e+03
5.000000000000000000e+02	1.693000000000000000e+03
6.250000000000000000e+02	1.659000000000000000e+03
7.500000000000000000e+02	1.623000000000000000e+03
8.750000000000000000e+02	1.587000000000000000e+03
1.000000000000000000e+03	1.538000000000000000e+03
1.125000000000000000e+03	1.507000000000000000e+03
1.250000000000000000e+03	1.502000000000000000e+03
1.375000000000000000e+03	1.505000000000000000e+03
1.500000000000000000e+03	1.497000000000000000e+03
1.625000000000000000e+03	1.499000000000000000e+03
1.750000000000000000e+03	1.509000000000000000e+03
1.875000000000000000e+03	1.522000000000000000e+03
2.000000000000000000e+03	1.533000000000000000e+03
2.125000000000000000e+03	1.547000000000000000e+03
2.250000000000000000e+03	1.566000000000000000e+03
2.375000000000000000e+03	1.588000000000000000e+03
2.500000000000000000e+03	1.612000000000000000e+03
2.625000000000000000e+03	1.650000000000000000e+03
2.750000000000000000e+03	1.678000000000000000e+03
2.875000000000000000e+03	1.700000000000000000e+03
3.000000000000000000e+03	1.724000000000000000e+03
3.125000000000000000e+03	1.758000000000000000e+03
3.250000000000000000e+03	1.792000000000000000e+03
3.375000000000000000e+03	1.818000000000000000e+03
3.500000000000000000e+03	1.843000000000000000e+03
3.625000000000000000e+03	1.891000000000000000e+03
3.750000000000000000e+03	1.929000000000000000e+03
3.875000000000000000e+03	1.989000000000000000e+03
4.000000000000000000e+03	2.030000000000000000e+03
4.125000000000000000e+03	2.102000000000000000e+03
4.250000000000000000e+03	2.172000000000000000e+03
4.375000000000000000e+03	2.266000000000000000e+03
4.500000000000000000e+03	2.375000000000000000e+03
4.625000000000000000e+03	2.518000000000000000e+03
4.750000000000000000e+03	2.688000000000000000e+03
4.875000000000000000e+03	2.877000000000000000e+03
5.000000000000000000e+03	3.150000000000000000e+03
5.125000000000000000e+03	3.572000000000000000e+03
5.250000000000000000e+03	4.093000000000000000e+03
5.375000000000000000e+03	0.000000000000000000e+00
5.500000000000000000e+03	0.000000000000000000e+00
5.625000000000000000e+03	0.000000000000000000e+00
5.750000000000000000e+03	0.000000000000000000e+00
5.875000000000000000e+03	0.000000000000000000e+00
6.000000000000000000e+03	0.000000000000000000e+00
6.125000000000000000e+03	0.000000000000000000e+00
6.250000000000000000e+03	0.000000000000000000e+00
6.375000000000000000e+03	0.000000000000000000e+00
6.500000000000000000e+03	0.000000000000000000e+00
6.625000000000000000e+03	0.000000000000000000e+00
6.750000000000000000e+03	0.000000000000000000e+00
6.875000000000000000e+03	0.000000000000000000e+00
7.000000000000000000e+03	0.000000000000000000e+00
7.125000000000000000e+03	0.000000000000000000e+00
7.250000000000000000e+03	0.000000000000000000e+00
7.375000000000000000e+03	0.000000000000000000e+00
7.500000000000000000e+03	0.000000000000000000e+00
7.625000000000000000e+03	0.000000000000000000e+00
7.750000000000000000e+03	0.000000000000000000e+00
7.875000000000000000e+03	0.000000000000000000e+00
8.000000000000000000e+03	0.000000000000000000e+00
8.125000000000000000e+03	0.000000000000000000e+00
